age,gender,course,study_hours,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
0.8571428571428572,2,5,0.4201787994891443,1,0.086206896551724,0,3,2,2,54.8
0.7142857142857144,1,1,0.996168582375479,1,0.7586206896551725,2,0,0,2,90.3
0.4285714285714284,0,6,0.1034482758620689,1,0.9827586206896554,2,0,1,2,43.7
0.8571428571428572,1,2,0.4342273307790549,1,0.0172413793103449,1,2,1,2,58.2
0.8571428571428572,0,4,0.0932311621966794,1,0.5172413793103449,2,3,2,2,34.1
0.7142857142857144,1,2,0.5836526181353767,1,0.6206896551724138,1,1,0,2,83.5
0.1428571428571428,1,5,0.0408684546615581,1,0.4655172413793104,2,4,2,2,32.3
0.2857142857142856,2,3,0.2068965517241379,1,0.9827586206896554,1,2,1,0,52.1
0.5714285714285716,0,1,0.3371647509578545,1,0.5000000000000001,1,3,2,2,56.6
0.4285714285714284,2,2,0.876117496807152,1,0.086206896551724,1,1,2,2,49.2
0.1428571428571428,1,1,0.7279693486590039,1,0.1724137931034483,1,4,0,0,81.8
0.5714285714285716,0,3,0.4942528735632184,0,0.4137931034482759,2,3,0,1,71.1
0.2857142857142856,0,2,0.3652618135376756,1,0.2241379310344828,0,0,0,0,58.9
0.1428571428571428,2,6,0.7420178799489143,1,0.9310344827586208,0,2,2,2,67.6
1.0,1,1,0.9897828863346104,1,0.6379310344827586,1,0,0,0,100.0
1.0,2,2,0.9782886334610472,1,0.0172413793103449,1,3,0,2,74.0
0.7142857142857144,0,1,0.1047254150702426,1,0.2413793103448276,2,2,0,2,30.9
0.8571428571428572,1,5,0.8710089399744573,1,0.1724137931034483,2,2,1,2,75.9
0.8571428571428572,1,5,0.5772669220945083,1,0.8275862068965517,2,2,1,0,75.3
0.4285714285714284,1,2,0.7369093231162196,0,0.4310344827586206,0,3,1,2,64.9
0.5714285714285716,2,6,0.9450830140485312,1,0.1896551724137931,2,1,1,1,78.1
0.1428571428571428,2,4,0.6475095785440613,1,0.6379310344827586,0,2,2,2,77.8
0.2857142857142856,1,1,0.8480204342273308,1,0.879310344827586,1,4,0,2,61.0
0.1428571428571428,2,3,0.0140485312899106,1,0.9655172413793102,2,4,0,2,45.3
0.2857142857142856,2,6,0.0766283524904214,1,1.0,2,2,1,2,49.9
0.1428571428571428,0,1,0.8786717752234994,1,0.793103448275862,2,3,1,1,76.9
0.5714285714285716,1,1,0.6730523627075351,1,0.8965517241379312,0,3,0,2,54.4
0.4285714285714284,1,6,0.1877394636015326,1,0.5344827586206896,1,2,0,2,75.6
0.7142857142857144,0,4,0.301404853128991,1,0.1724137931034483,1,1,2,0,51.3
0.7142857142857144,0,6,0.0446998722860791,1,0.3103448275862069,0,4,1,2,23.9
0.4285714285714284,2,5,0.6155810983397191,1,0.4827586206896553,2,4,0,0,79.9
