age,study_hours,class_attendance,sleep_hours,facility_rating,exam_difficulty,exam_score,gender_male,gender_other,course_b.sc,course_b.tech,course_ba,course_bba,course_bca,course_diploma,internet_access_yes,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study
0.1428571428571428,0.3486590038314176,0.1989795918367345,0.3448275862068964,2,2,41.5,False,True,False,False,False,False,False,False,False,True,False,False,False
0.8571428571428572,0.0306513409961685,0.20578231292517,1.0,2,0,32.4,True,False,True,False,False,False,False,False,True,False,False,False,False
0.4285714285714284,0.611749680715198,0.302721088435374,0.8620689655172412,2,2,75.6,True,False,False,False,False,False,False,False,False,False,False,False,False
0.8571428571428572,0.6756066411238825,0.4608843537414966,0.3103448275862069,1,2,64.6,False,True,False,False,False,True,False,False,True,False,False,False,False
0.2857142857142856,0.1174968071519795,0.2363945578231291,0.4827586206896553,0,1,19.599,False,False,False,False,False,False,False,True,True,False,False,False,True
0.2857142857142856,0.1162196679438059,0.2176870748299318,0.913793103448276,2,0,19.599,False,True,False,True,False,False,False,False,True,True,False,False,False
0.8571428571428572,0.1890166028097062,0.7738095238095235,0.793103448275862,2,0,66.5,True,False,False,True,False,False,False,False,True,False,False,False,False
0.5714285714285716,0.6704980842911877,0.0306122448979591,0.879310344827586,0,2,43.4,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,0.8991060025542784,0.988095238095238,0.2068965517241379,1,2,87.3,True,False,True,False,False,False,False,False,True,False,False,False,False
0.0,0.8326947637292464,0.3520408163265305,0.0517241379310345,2,0,79.0,True,False,False,False,False,False,False,True,True,False,False,True,False
0.8571428571428572,0.6615581098339719,0.3282312925170068,0.9655172413793102,0,2,72.6,False,False,False,False,False,True,False,False,False,False,False,False,True
0.8571428571428572,1.0000000000000002,0.7414965986394557,0.1724137931034483,2,0,65.3,False,False,False,True,False,False,False,False,False,False,False,False,True
0.8571428571428572,0.9106002554278416,0.238095238095238,0.2241379310344828,1,2,82.3,False,True,False,False,False,False,True,False,True,False,False,False,False
0.1428571428571428,0.4137931034482758,0.0221088435374148,0.8275862068965517,2,1,63.1,True,False,True,False,False,False,False,False,False,False,True,False,False
0.5714285714285716,0.4125159642401022,0.5561224489795917,0.0,1,2,58.5,True,False,False,True,False,False,False,False,True,True,False,False,False
0.2857142857142856,0.6679438058748403,0.976190476190476,0.7758620689655172,2,0,62.3,False,False,False,False,False,False,False,True,True,True,False,False,False
0.8571428571428572,0.401021711366539,0.0663265306122448,0.3965517241379311,2,1,59.9,False,True,False,False,False,False,True,False,True,False,False,False,False
0.7142857142857144,0.7905491698595146,0.8962585034013604,0.1896551724137931,0,0,75.7,False,False,False,False,False,False,True,False,False,False,False,False,True
0.0,0.51213282247765,0.6921768707482991,0.5862068965517241,2,0,57.3,False,True,True,False,False,False,False,False,True,True,False,False,False
0.0,0.91698595146871,0.8724489795918366,0.7586206896551725,0,0,85.7,False,False,False,False,False,False,False,False,True,False,False,False,True
0.5714285714285716,0.9731800766283524,0.4047619047619046,0.5862068965517241,2,0,94.8,False,True,False,False,False,False,False,True,True,False,False,False,True
0.7142857142857144,0.2911877394636015,0.9472789115646256,0.086206896551724,1,1,41.7,True,False,True,False,False,False,False,False,True,False,False,True,False
0.5714285714285716,0.7573435504469986,0.6666666666666665,0.6551724137931035,0,0,66.9,False,True,True,False,False,False,False,False,True,False,False,False,False
1.0,0.003831417624521,0.3588435374149659,0.1206896551724138,2,0,40.3,True,False,False,False,False,False,True,False,True,False,True,False,False
0.4285714285714284,0.6219667943805874,0.9166666666666664,0.2068965517241379,1,2,62.0,False,True,False,False,False,False,False,False,True,True,False,False,False
0.4285714285714284,0.4789272030651341,0.8061224489795917,0.3965517241379311,2,1,48.2,True,False,False,True,False,False,False,False,True,False,False,False,True
0.5714285714285716,0.7956577266922094,0.0782312925170067,0.4655172413793104,1,1,64.7,False,False,False,False,False,False,True,False,False,False,False,True,False
0.8571428571428572,0.6053639846743295,0.8826530612244896,0.6034482758620688,1,1,77.9,False,False,False,False,False,True,False,False,True,False,False,False,True
0.4285714285714284,0.3690932311621967,0.6207482993197277,0.913793103448276,0,0,53.6,False,False,False,False,True,False,False,False,True,False,False,False,False
0.5714285714285716,0.0459770114942528,0.8690476190476188,0.5517241379310344,2,1,50.5,True,False,False,False,True,False,False,False,True,False,True,False,False
0.1428571428571428,0.3295019157088123,0.5085034013605441,0.0517241379310345,0,0,42.0,True,False,False,True,False,False,False,False,True,True,False,False,False
