age,class_attendance,sleep_hours,sleep_quality,facility_rating,exam_difficulty,exam_score,gender_male,gender_other,course_b.sc,course_b.tech,course_ba,course_bba,course_bca,course_diploma,internet_access_yes,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study
0.8571428571428572,0.8486394557823127,0.9310344827586208,0,0,2,66.6,False,True,False,False,False,False,False,True,True,True,False,False,False
0.4285714285714284,0.4863945578231292,0.0689655172413793,2,1,2,48.0,False,False,False,True,False,False,False,False,True,True,False,False,False
0.0,0.3741496598639455,0.3620689655172414,1,1,2,59.7,True,False,False,False,False,True,False,False,True,False,False,False,True
1.0,0.5306122448979591,0.5344827586206896,2,1,0,62.6,False,False,False,False,True,False,False,False,False,False,True,False,False
0.1428571428571428,0.0306122448979591,0.2241379310344828,0,0,0,45.6,False,True,False,True,False,False,False,False,True,False,True,False,False
0.1428571428571428,0.9013605442176869,0.3793103448275862,0,2,1,37.6,False,True,False,False,True,False,False,False,True,False,False,True,False
1.0,0.4421768707482991,0.3275862068965517,2,2,1,70.5,False,True,False,False,False,False,False,True,True,False,True,False,False
0.8571428571428572,0.1258503401360543,0.0172413793103449,1,2,2,47.4,True,False,False,False,False,False,False,True,True,False,False,False,True
0.8571428571428572,0.302721088435374,0.2931034482758621,1,0,1,34.8,False,False,False,True,False,False,False,False,True,False,False,False,True
0.5714285714285716,0.4183673469387754,0.6206896551724138,2,1,1,62.2,False,True,False,True,False,False,False,False,True,False,True,False,False
0.0,0.0068027210884352,0.5517241379310344,0,2,1,42.5,False,True,False,False,False,False,False,False,True,True,False,False,False
0.8571428571428572,0.7227891156462583,0.1206896551724138,2,0,0,75.2,True,False,False,False,False,False,True,False,True,True,False,False,False
0.8571428571428572,0.4727891156462585,0.0517241379310345,2,1,1,70.5,False,True,False,False,False,False,True,False,True,False,True,False,False
0.7142857142857144,0.346938775510204,0.8620689655172412,2,2,0,63.7,False,False,False,False,False,True,False,False,True,False,False,True,False
0.5714285714285716,0.9438775510204078,0.6206896551724138,0,2,1,87.6,False,True,False,True,False,False,False,False,True,False,False,False,True
0.4285714285714284,0.0884353741496597,0.2758620689655173,1,0,0,31.9,True,False,False,False,False,False,False,True,True,False,False,False,True
1.0,0.0289115646258502,0.1724137931034483,1,0,1,39.6,False,True,True,False,False,False,False,False,True,False,False,False,True
0.0,0.9931972789115644,0.1896551724137931,0,2,1,73.8,False,False,False,False,True,False,False,False,False,False,False,True,False
0.8571428571428572,0.2448979591836734,0.9655172413793102,0,2,0,61.0,False,True,False,False,False,False,True,False,True,True,False,False,False
0.8571428571428572,0.5153061224489797,0.793103448275862,0,1,1,39.6,True,False,False,True,False,False,False,False,True,True,False,False,False
0.1428571428571428,0.6241496598639453,0.2931034482758621,1,0,1,78.7,False,False,False,False,True,False,False,False,True,False,False,False,False
0.4285714285714284,0.921768707482993,0.913793103448276,0,0,0,85.6,True,False,False,False,False,False,False,False,True,True,False,False,False
0.1428571428571428,0.2993197278911564,0.8620689655172412,0,0,0,55.7,False,True,True,False,False,False,False,False,True,False,True,False,False
0.4285714285714284,1.0,0.2413793103448276,0,1,1,61.3,False,True,False,False,False,True,False,False,True,True,False,False,False
0.5714285714285716,0.9710884353741496,0.810344827586207,2,2,2,73.5,False,False,False,False,False,False,False,False,True,False,False,False,True
0.5714285714285716,0.4200680272108841,0.1896551724137931,0,1,0,62.7,False,False,True,False,False,False,False,False,True,False,True,False,False
0.5714285714285716,0.3418367346938775,1.0,2,0,1,61.0,True,False,True,False,False,False,False,False,True,False,True,False,False
0.5714285714285716,0.9404761904761904,0.2931034482758621,2,0,2,61.3,True,False,False,False,False,False,True,False,True,True,False,False,False
1.0,0.2023809523809523,0.9482758620689654,2,1,1,77.0,False,False,False,False,False,False,False,True,True,False,False,False,False
1.0,0.2244897959183671,1.0,2,0,1,59.9,False,True,False,False,False,True,False,False,True,False,False,False,True
0.0,0.1139455782312923,0.9827586206896554,2,1,1,73.5,False,False,False,False,True,False,False,False,True,False,True,False,False
0.1428571428571428,0.282312925170068,0.4137931034482759,1,1,1,54.4,False,True,False,False,False,False,False,False,False,False,False,False,False
0.1428571428571428,0.4489795918367345,0.0,2,2,1,76.7,False,False,True,False,False,False,False,False,True,True,False,False,False
1.0,0.5646258503401358,0.879310344827586,1,0,1,63.8,False,True,False,False,True,False,False,False,True,True,False,False,False
0.4285714285714284,0.20578231292517,0.793103448275862,2,2,1,66.9,False,False,True,False,False,False,False,False,True,False,False,True,False
0.4285714285714284,0.7091836734693875,0.9310344827586208,0,0,2,62.7,True,False,True,False,False,False,False,False,True,False,False,False,False
0.4285714285714284,0.0,0.8620689655172412,2,1,1,74.4,False,False,False,False,True,False,False,False,True,False,False,False,False
0.8571428571428572,0.4506802721088434,0.7586206896551725,2,2,1,92.9,True,False,False,False,True,False,False,False,True,False,False,True,False
0.7142857142857144,0.4659863945578231,0.3103448275862069,1,1,0,59.5,False,False,True,False,False,False,False,False,True,False,False,False,False
0.1428571428571428,0.2465986394557822,0.0689655172413793,1,2,1,56.9,True,False,False,False,False,False,False,False,True,False,False,False,False
0.0,0.4404761904761904,0.3448275862068964,2,2,1,75.9,True,False,False,False,False,False,False,False,True,True,False,False,False
0.7142857142857144,0.2789115646258502,0.1379310344827587,0,1,2,58.8,False,True,False,True,False,False,False,False,True,False,False,True,False
0.5714285714285716,0.1972789115646258,0.4482758620689656,2,1,1,51.0,False,True,False,False,False,False,True,False,True,False,True,False,False
0.1428571428571428,0.9098639455782308,0.1724137931034483,2,2,1,88.1,False,False,False,False,True,False,False,False,False,False,False,False,True
0.4285714285714284,0.8452380952380951,0.810344827586207,0,2,0,82.6,False,True,False,False,False,False,False,False,True,False,True,False,False
0.7142857142857144,0.4795918367346936,0.3965517241379311,1,2,1,52.6,True,False,True,False,False,False,False,False,True,False,False,False,True
0.1428571428571428,0.639455782312925,0.4655172413793104,0,0,0,57.6,False,False,True,False,False,False,False,False,True,False,True,False,False
0.0,0.9387755102040812,0.4310344827586206,1,0,1,81.9,True,False,False,False,False,False,False,True,False,False,False,False,True
0.8571428571428572,0.9302721088435372,0.2413793103448276,1,2,1,73.2,True,False,False,False,True,False,False,False,True,True,False,False,False
1.0,0.649659863945578,0.0517241379310345,2,0,1,58.9,False,True,False,True,False,False,False,False,True,False,False,False,True
0.1428571428571428,0.6428571428571428,0.6724137931034483,1,1,0,69.9,False,True,True,False,False,False,False,False,True,False,False,False,True
1.0,0.4132653061224489,0.879310344827586,0,1,1,50.1,True,False,False,False,True,False,False,False,True,False,False,False,True
0.8571428571428572,0.4659863945578231,0.2241379310344828,2,1,2,69.4,True,False,False,False,False,False,False,False,True,False,True,False,False
0.5714285714285716,0.3996598639455779,0.3448275862068964,0,2,1,37.2,False,True,False,False,True,False,False,False,True,False,False,False,True
0.5714285714285716,0.8027210884353739,0.5689655172413793,0,1,0,65.9,False,False,False,False,False,False,True,False,True,True,False,False,False
