age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
0.0,1,6,0.3448275862068965,0.889455782312925,1,0.5689655172413793,2,0,1,1,58.9
0.8571428571428572,2,5,0.42017879948914433,0.41156462585034004,1,0.08620689655172409,0,3,2,2,54.8
0.7142857142857144,1,1,0.996168582375479,0.6156462585034013,1,0.7586206896551725,2,0,0,2,90.3
0.4285714285714284,2,6,0.07535121328224778,0.13265306122448972,1,0.2931034482758621,0,3,1,2,29.7
0.4285714285714284,0,6,0.10344827586206898,0.5272108843537413,1,0.9827586206896554,2,0,1,2,43.7
0.8571428571428572,1,2,0.43422733077905495,0.4217687074829932,1,0.017241379310344973,1,2,1,2,58.2
0.0,0,2,0.16219667943805877,0.48299319727891143,1,0.5689655172413793,0,3,0,1,53.7
0.7142857142857144,1,1,0.6896551724137931,0.1785714285714285,1,0.7068965517241378,2,4,1,2,47.3
0.1428571428571428,2,5,0.3588761174968072,0.8741496598639453,1,0.43103448275862066,2,4,1,0,44.9
0.0,1,4,0.8544061302681991,0.07142857142857129,1,0.9827586206896554,0,1,0,2,77.7
0.5714285714285716,0,3,0.7547892720306514,0.7874149659863945,1,0.2931034482758621,0,4,2,0,63.2
1.0,1,0,0.471264367816092,0.9523809523809521,0,0.0,2,3,2,0,53.5
0.7142857142857144,0,3,0.8531289910600255,0.09863945578231281,1,0.689655172413793,1,4,2,1,63.9
0.8571428571428572,0,4,0.09323116219667946,0.4319727891156462,1,0.5172413793103449,2,3,2,2,34.1
0.7142857142857144,1,2,0.5836526181353767,0.5867346938775508,1,0.6206896551724138,1,1,0,2,83.5
0.8571428571428572,2,4,0.6079182630906769,1.0,1,0.5517241379310344,0,0,0,2,98.5
0.5714285714285716,1,1,0.24137931034482762,0.8724489795918366,1,0.724137931034483,0,4,2,2,70.3
0.1428571428571428,1,5,0.04086845466155811,0.41326530612244894,1,0.4655172413793104,2,4,2,2,32.3
0.8571428571428572,0,1,0.5363984674329502,0.9778911564625847,1,0.051724137931034586,0,2,1,2,56.2
0.4285714285714284,1,2,0.5146871008939975,0.3282312925170068,1,0.034482758620689724,2,0,0,2,49.3
0.5714285714285716,0,3,0.6577266922094509,0.33673469387755084,1,0.017241379310344973,2,0,2,0,68.1
0.2857142857142856,2,3,0.20689655172413793,0.5068027210884354,1,0.9827586206896554,1,2,1,0,52.1
0.1428571428571428,1,3,0.17369093231162197,0.7857142857142856,1,0.9655172413793102,0,1,2,0,47.1
1.0,0,6,0.9885057471264368,0.18537414965986387,1,0.3793103448275862,1,4,1,0,84.8
0.8571428571428572,1,4,0.10600255427841634,0.7465986394557822,1,0.6724137931034483,0,0,1,2,68.9
0.7142857142857144,1,0,1.0000000000000002,0.0,1,0.034482758620689724,1,1,1,2,76.3
0.4285714285714284,1,5,0.7254150702426564,0.25680272108843527,0,0.7068965517241378,0,4,1,0,71.6
